🍎=苹果,红富士,蛇果,沙果,红苹果
🍗=烤鸡,扒鸡,烧鸡,奥尔良烤鸡,转炉烤鸡
🥩=肥牛,肥牛卷,牛腩,牛里脊,牛后腿
🐖=猪肉,五花肉,瘦肉,猪排,猪肉片
🦴=排骨,大骨,筒骨,猪蹄,棒骨
🐔=整鸡,白切鸡,三黄鸡,走地鸡,老母鸡
🦆=烤鸭,烧鸭,咸水鸭,板鸭,鸭肉
🐟=鱼,草鱼,鲫鱼,鲤鱼,鮰鱼,淡水鱼,海鲜
🍣=刺身,生鱼片,三文鱼片,金枪鱼片,鲷鱼片
🍱=盖饭,卤肉饭,鳗鱼饭,照烧鸡排饭,排骨饭
🍜=担担面,油泼面,炸酱面,热干面,炸酱面
🥟=锅贴,煎饺,生煎包,水煎包,煎炸饺
🥟=馄饨,抄手,云吞,扁食,汤饺
🥐=包子,小笼包,叉烧包,奶黄包,肉包
🍞=馒头,花卷,银丝卷,白馒头,杂粮馒头
🫘=豆腐,豆干,嫩豆腐,老豆腐,千页豆腐
🫘=红豆,绿豆,黑豆,黄豆,芸豆
🫘=毛豆,大豆,蚕豆,四季豆,扁豆
🍄=蘑菇,草菇,口蘑,平菇,白蘑菇
🍄=金针菇,香菇,鲜香菇,冬菇,花菇
🍄=杏鲍菇,鸡腿菇,海鲜菇,蟹味菇,松茸
🥜=花生,坚果,咸干花生,酒鬼花生,花生仁
🥜=腰果,核桃,核桃仁,碧根果,夏威夷果
🥜=开心果,榛子,松子,葵花籽,南瓜子
🌰=栗子,板栗,糖炒栗子,生栗子,熟栗子
🍤=虾仁,虾滑,虾饼,虾球,凤尾虾
🦐=皮皮虾,爬虾,虾姑,濑尿虾,虾排
🦀=蟹棒,蟹柳,蟹膏,蟹黄,帝王蟹腿
🦑=章鱼,八爪鱼,小章鱼,章鱼足,章鱼烧
🦞=小龙虾,麻辣小龙虾,蒜泥小龙虾,十三香小龙虾,油焖大虾
🐚=蛤蜊,花甲,蛏子,文蛤,贝壳肉
🐡=河豚,河豚肉,河豚鱼,刺河豚,白肌鱼
🐟=三文鱼,金枪鱼,鳕鱼,鲈鱼,秋刀鱼
🐟=带鱼,多宝鱼,黄花鱼,鳗鱼,罗非鱼
🍗=鸡胸肉,鸡柳,鸡里脊,水煮鸡胸,鸡肉丁
🐖=里脊肉,猪里脊,大里脊,小里脊,瘦肉条
🐑=羊肉,羊排,羊腿,羊里脊,山羊肉
🐑=肥羊,肥羊卷,羊肉片,羊肉串,涮羊肉
🍖=烤排骨,羊蝎子,酱骨头,烧排骨,酱肋排
🧠=脑子,大脑,猪脑
🥩=牛仔骨,牛肋排,牛脊骨,牛杂,牛排骨
🥞=厚松饼,格子饼,舒芙蕾松饼,蜂蜜松饼,巧克力松饼
🍦=圣代,冰淇淋杯,巧克力圣代,草莓圣代,芒果圣代
🍨=雪糕,棒冰,老冰棍,奶棒,甜筒
🍮=焦糖布丁,芒果布丁,草莓布丁,牛奶冻,果冻
🍭=波板糖,彩虹糖,水果糖,奶糖,酥糖
🍫=夹心巧克力,松露巧克力,酒心巧克力,生巧,白巧克力
🍵=奶盖茶,芝士茗茶,果茶,花茶,柠檬茶
🧋=波霸奶茶,红豆奶茶,芋圆奶茶,燕麦奶茶,丝袜奶茶
🥤=汽水,芬达,美年达,七喜,怡泉
🍶=绍兴酒,状元红,女儿红,料酒,米酒
🥤=奶昔,香草奶昔,草莓奶昔,巧克力奶昔,芒果奶昔
🥯=碱水面包,碱水结,德国碱水,碱水红豆,碱水棒
🍞=大列巴,全麦面包,黑麦面包,杂粮面包,粗粮面包
🍳=欧姆蛋,蛋卷,厚蛋烧,玉子烧,炒蛋
🥗=素食,全素,果蔬拼盘,素餐,减脂餐
🍢=麻辣烫,冷锅串串,串串香,油炸串,钵钵鸡
🍝=肉酱面,番茄意面,奶油意面,青酱意面,培根意面
🥓=香肠,腊肠,脆皮肠,台式香肠,广式腊肠
🍗=烤翅,新奥尔良烤翅,香辣鸡翅,可乐鸡翅,炸鸡翅
🥣=疙瘩汤,西红柿蛋汤,紫菜汤,酒酿圆子,红豆沙
🌮=鸡肉卷,牛肉卷,蔬菜卷,墨西哥饼,卷饼
🥯=乳酪贝果,肉桂贝果,洋葱贝果,芝麻贝果,原味贝果
🥚=皮蛋,松花蛋,咸鸭蛋,鹌鹑蛋,卤蛋
🥩=牛肉粒,牛肉丁,黑椒牛肉,杭椒牛柳,水煮牛肉
🐖=回锅肉,红烧肉,锅包肉,糖醋里脊,东坡肉
🥬=娃娃菜,小白菜,油麦菜,菠菜,空心菜
🍄=黑木耳,银耳,石耳,地耳,木耳碎
🥕=白萝卜,青萝卜,心里美,水萝卜,萝卜干
🥚=蛋黄,蛋白,蛋液,蛋粉,蛋清
🥔=薯饼,薯角,土豆块,土豆条,土豆丝
🥘=佛跳墙,全家福,大盆菜,乱炖,焖锅
🌽=爆米花,爆玉米,玉米粒,玉米片,玉米碎
🏃=跑步,长跑,田径,慢跑,晨跑
🏃=冲刺,快跑,短跑,接力赛,田径赛
🏃=散步,竞走,健步走,遛弯,走路
🚴=骑行,骑车,自行车,公路车,单车,越野骑行
🚴=动感单车,室内单车,健身车,单车课,骑行训练
🏊=游泳,蛙泳,自由泳,仰泳,蝶泳
🏊=冬泳,公开水域游泳,潜水,浮潜,潜水训练
🧘=瑜伽,冥想,拉伸,普拉提,禅修
🧘=空中瑜伽,热瑜伽,流瑜伽,阴瑜伽,瑜伽练习
🏋️=力量训练,健身,举铁,器械训练,抗阻训练
🏋️=举重,抓举,挺举,杠铃训练,大力士
🏋️=卧推,硬拉,深蹲,推举,划船训练
🏋️=哑铃训练,哑铃平举,哑铃弯举,哑铃飞鸟,哑铃深蹲
🤸=跳绳,开合跳,波比跳,高抬腿,有氧操
🤸=侧手翻,翻跟头,体操,自由体操,平衡木
🤸=核心训练,卷腹,平板支撑,仰卧起坐,俄罗斯转体
⚽=足球,点球,传球,射门,足球赛
🏀=篮球,投篮,三步上篮,扣篮,篮球赛
🏐=排球,沙滩排球,垫球,扣球,排球赛
🏈=美式橄榄球,达阵,橄榄球赛,四分卫,传球赛
⚾=棒球,垒球,击球,本垒打,棒球赛
🎾=网球,发球,反拍,上网,网球赛
🏸=羽毛球,吊球,杀球,挑球,羽毛球赛
🏓=乒乓球,桌球,抽球,削球,乒乓球赛
🏒=冰球,冰上曲棍球,陆地冰球,冰球赛,击球
🏑=曲棍球,草地曲棍球,曲棍球赛,带球,抢断
⛳=高尔夫,挥杆,推杆,果岭,高尔夫赛
🏹=射箭,反曲弓,复合弓,瞄准,射箭场
🎣=钓鱼,垂钓,路亚,海钓,溪钓
🥊=拳击,散打,格斗,泰拳,打沙袋
🥋=武术,空手道,柔道,跆拳道,合气道
🛹=滑板,长板,双翘,滑板刷街,滑板技巧
🛼=溜冰,旱冰,轮滑,双排轮滑,轮滑鞋
⛸️=滑冰,花样滑冰,速滑,冰刀,滑冰场
🎿=滑雪,双板滑雪,高山滑雪,越野滑雪,滑雪板
🏂️=单板滑雪,滑雪板,公园板,刻滑,大跳台
🏄=冲浪,桨板,尾波冲浪,冲浪板,浪尖
🚣=划船,赛艇,皮划艇,浆手,划船机
🧗=攀岩,徒步,爬山,攀冰,登山
🧗=野外生存,越野跑,丛林穿越,探险,定向越野
🏇=赛马,马术,骑马,马术障碍赛,盛装舞步
🤺=击剑,重剑,花剑,佩剑,击剑服
⛷️=跳台滑雪,自由式滑雪,滑雪降临,滑雪特技,雪上技巧
🏇=马球,骑术,马匹训练,马厩训练,马术表演
